French,English
partie,part
histoire,history
police,police
demande,request
mois,month
frère,brother
laisser,let
mettre,to put
laisse,leash
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
vont,will
revoir,meet again
aucune,any
place,square
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
écoute,listen
trouve,find
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
